category,train_count,train_pct,test_count,test_pct,total_count,total_pct
Analysis,2000,1.1532,677,0.8223,2677,1.0467
Backdoor,1744,1.0056,583,0.7081,2327,0.9098
DoS,12253,7.0649,4089,4.9665,16342,6.3894
Exploits,33293,19.1961,11132,13.5209,44425,17.3693
Fuzzers,18096,10.4338,6062,7.3629,24158,9.4453
Generic,38354,22.1142,18871,22.9206,57225,22.3738
Normal,56000,32.2886,37000,44.94,93000,36.3611
Reconnaissance,10438,6.0184,3496,4.2462,13934,5.4479
Shellcode,1127,0.6498,378,0.4591,1505,0.5884
Worms,130,0.075,44,0.0534,174,0.068
